"year","f4","f5","f6","f7","m4","m5","m6","m7","n_weirs","n_aged"
1976,0,0.0379547764366217,0.401465029644215,0.00397801546480784,0.0758931899211488,0.37623335751414,0.104475631019066,0,1,347
1977,0,0,0,0,0,0,0,0,0,0
1978,0,0.00334575483373923,0.352127341821484,0.103879405362988,0.176797600265433,0.100477223362051,0.219330141812757,0.0440425325415473,1,514
1979,0,0.00277065152178794,0.101427377828163,0.0276559055089128,0.658865716799111,0.134470916900698,0.0674378972862154,0.00737153415511232,1,383
1980,0,0,0,0,0,0,0,0,0,0
1981,0.00237619898319926,0.025994307743704,0.401845629813146,0.0258757448006753,0.0731638336092598,0.269439845670569,0.187378233696206,0.0139262056832406,1,785
1982,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0
1984,0,0.017988434991958,0.166654159204444,0.0291944450641836,0.212244873123627,0.458902845413852,0.103397499994929,0.0116177422070059,1,1374
1985,0,0.0194302502681122,0.272992312614342,0.0194302502681122,0.168198736493002,0.331927433963284,0.176422346590243,0.0115986698029037,1,1041
1986,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0
1988,0,0.0824632681742686,0.21,0.0661581704356714,0.0836949022614028,0.440146927302926,0.107536731825731,0.01,1,867
1989,0,0,0,0,0,0,0,0,0,0
1990,0,0.130097057931453,0.0867667576584774,0,0.263882317258113,0.48913254473764,0.030121322414316,0,1,358
1991,0.0026916618645863,0.0734371458416856,0.412422599583679,0.0208406906504194,0.0721725590301295,0.23057466707012,0.184656329307328,0.00320434665205258,2,655
1992,0.00667455154969167,0.0225783976686632,0.232826173599106,0.0193017237828784,0.340658097555201,0.294994333309227,0.0796620105071935,0.00330471202803959,3,1495
1993,0.00762098618977833,0.0232159992595205,0.207279583282871,0.0375042092161943,0.375949667624841,0.211814533879072,0.129272839513498,0.00734218103422414,2,924
1994,0.0121133500138624,0.107876929185335,0.133530943978751,0.0266432089595663,0.178215822314714,0.412189336555345,0.114589073682986,0.0148413353094398,1,458
1995,0.0083888259631146,0.072668312675598,0.341875911331058,0.00150123773980198,0.183659679211468,0.1824731302154,0.208997511587982,0.00043539127557789,1,533
1996,0.00674326602102164,0.0620039337242549,0.180208957604813,0.110345347247538,0.0897690235680378,0.364968348925576,0.147121450314193,0.0388396725945648,2,673
1997,0.043046711438564,0.0239985316811424,0.321621523057974,0.00373013879588577,0.291910192590149,0.144411462178691,0.171281440257594,0,2,741
1998,0,0,0,0,0,0,0,0,0,0
1999,0,0.0362227866473149,0.468232946298984,0.0171081277213353,0.0482402031930334,0.221763425253991,0.208432510885341,0,1,304
2000,0.00661959830321896,0.0586431181752792,0.263168725777348,0.0236303658853785,0.168273251854436,0.29992650627806,0.165395686775768,0.0143427469505114,5,555
2001,0.00790677705622039,0.0329077060776612,0.300091605817106,0.0250887662837598,0.129801417428117,0.279584731373059,0.205001996603387,0.0196169993606899,5,641
2002,0.00728577339784902,0.0442829515892123,0.202185943082522,0.0219067155562702,0.260095983131036,0.323453096824304,0.131539751413945,0.00924978500486136,6,2156
2003,0.000826071866421824,0.0335477063186828,0.192574149659882,0.0246661667416982,0.252185667622358,0.389824472160306,0.102500180166133,0.00387558546451896,4,1832
2004,0.00381493946277438,0.0240601095834849,0.163990827026755,0.00498177375339504,0.458833196508247,0.267593123272911,0.0757411067034514,0.000984923688981323,6,2766
2005,0.00670260541392205,0.144404642514452,0.19995200246938,0.00758274369195172,0.220607750604656,0.31221662986302,0.104144677521583,0.00438894792103478,5,2207
2006,0.00120622104710651,0.0515546845343164,0.263801676161303,0.0356793260562521,0.318392113933052,0.227976578219181,0.0885283754355446,0.0128610246132448,7,2785
2007,0.00258960184813043,0.067238779530722,0.141777335704599,0.00891120361313733,0.471731183559684,0.225640992877228,0.07596906512799,0.00614183773850919,6,2216
2008,0.00309871912636785,0.0853527980063897,0.194714366767477,0.0141799649255882,0.257024727398234,0.366366302066623,0.0702598142562693,0.00900330745305058,7,1871
2009,0.0125291841052818,0.0759886938276031,0.295241979115109,0.00895249644982534,0.195388680034059,0.302482935503745,0.109194411194374,0.000221619770002447,6,1305
2010,0.00554256499791023,0.0821025664960254,0.211175195529122,0.0225817796154305,0.374656875645897,0.23384087455089,0.0656257872347631,0.00447435592996188,6,1031
2011,0.00485352153312617,0.0654568331015775,0.200614501098637,0.00823694326923207,0.391784519496001,0.231025916934393,0.0958218937281226,0.00220587083891117,6,1212
2012,0.00314548386392427,0.19133740269078,0.201053993511701,0.00879922995362458,0.227615357874807,0.310032609879432,0.0580159222257312,0,5,321
2013,0.0710326488241905,0.175894889204556,0.314851419351147,0.00453972082422717,0.22555741537546,0.159595722313512,0.0485281841069073,0,5,295
2014,0.00768728501884446,0.117856319333737,0.302182986063043,0.00988823518987799,0.136247122864308,0.317149520040093,0.107154441672682,0.00183408981741322,6,929
2015,0.00422728973240182,0.110632983271723,0.105568820784752,0,0.441484885055439,0.27197836908006,0.0624276769116059,0.00367997516401911,7,1966
2016,0.0174960648857516,0.236305451856677,0.139739027833668,0.000375305241790169,0.216490436033568,0.359881390261533,0.029712323887012,0,6,812
2017,0.0195888159135199,0.139847338318158,0.215469563449678,0,0.274522284140844,0.298208478122705,0.0521953218849536,0.000168198170140623,7,1303
2018,0.00365942495245377,0.163196162046786,0.146125100943168,0,0.317237274449097,0.320509657486177,0.0477093964483923,0.00156298367392561,5,880
2019,0.00423649053738528,0.102404246196394,0.109619414422885,0.00179205073892247,0.514215411941755,0.211942747077604,0.0557896390850544,0,4,628
