year,wk3,wk4,wk5,wk6,wk7,wk8,wk9
1976,0,20010,4143,1550,1238,236,0
1977,12458,16227,1841,673,153,0,0
1978,18483,10066,3723,2354,987,0,0
1979,24633,5651,3860,1233,470,0,0
1980,9891,21698,1460,498,445,0,0
1981,29882,3830,4563,2795,941,0,0
1982,4912,24628,12555,1970,1055,0,0
1983,13406,8063,4925,2415,633,0,0
1984,0,17181,5643,3206,2069,744,0
1985,0,6519,19204,9942,0,0,0
1986,0,0,11986,5029,1156,0,0
1987,0,19126,0,9606,1910,2758,0
1988,12640,11708,15060,5871,5270,1728,662
1989,0,15215,11094,7911,6043,868,210
1990,0,16690,25459,4071,4931,0,0
1991,0,13813,12612,8068,904,452,419
1992,0,24334,16307,3250,0,0,0
1993,0,0,8184,0,0,0,0
1994,0,0,14221,0,578,441,538
1995,0,6895,14424,4368,1452,568,0
1996,0,4091,666,861,408,251,307
1997,0,10023,0,0,0,0,0
1998,0,0,12771,2277,1127,0,816
1999,0,0,4668,0,0,0,0
2000,0,0,0,357,0,0,0
2001,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0
2004,0,0,520,1107,0,0,127
2005,0,0,3531,874,0,0,0
2006,0,0,2493,0,0,0,0
2007,0,0,0,0,0,0,0
2008,0,6415,2362,19,1,0,0
2009,0,3003,2539,762,113,83,58
2010,0,0,1724,290,271,186,176
2011,0,0,0,361,227,129,24
2012,0,0,0,0,45,195,39
2013,0,0,0,0,16,16,21
2014,0,0,0,0,23,6,0
2015,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0
