"year","stock","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"Tatlawiksuk",NA,705,697,NA,NA,727.7,789,NA,15
1999,"Tatlawiksuk",NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"Tatlawiksuk",NA,NA,730,NA,540,795,730.234693877551,NA,7
2001,"Tatlawiksuk",NA,802.976795580111,805.936648250461,948.271270718232,527.83409629045,674.35982320442,780.609723756906,NA,74
2002,"Tatlawiksuk",587,678.993868700464,781.839439246108,885.854867653656,576.724651972158,690.337374253719,758.236563481382,825,278
2003,"Tatlawiksuk",NA,743.75,843.666666666667,817,524.666666666667,732.714285714286,847.2,955.5,39
2004,"Tatlawiksuk",578.4,732.164229147705,823.336116453925,NA,586.4869958267,689.599556253149,802.923945223823,NA,301
2005,"Tatlawiksuk",NA,719.945381218844,786.754341461081,835.037783375315,576.280796449562,697.521644144016,810.003819857724,826.5,384
2006,"Tatlawiksuk",NA,723.138779259663,808.962051129938,802.378361075544,573.916826074161,682.454836878836,760.45995508982,820,178
2007,"Tatlawiksuk",715,681.612512932309,807.228391959799,772.873370577281,545.229191194066,664.923859061389,740.453283082077,803.389664082687,275
2008,"Tatlawiksuk",620,713.111687219731,794.715840147718,NA,567.669983183857,690.006418161435,750.111313527653,NA,93
2009,"Tatlawiksuk",566.5,684.670816326531,843.236683006536,NA,589.980453514739,638.463571428571,748.358979591837,758,93
2010,"Tatlawiksuk",NA,768.487002487562,832.878689883914,775.75,576.813289187522,681.452739489549,807.243353783231,NA,79
2011,"Tatlawiksuk",NA,740.758950295447,787.390747938193,893.666319082377,595.975517976153,672.343804310045,736.013555787279,710,123
2012,"Tatlawiksuk",666,737.02565374211,784.227820025349,NA,590.272664215856,705.372278758212,876,NA,91
2013,"Tatlawiksuk",NA,749.034418604651,818.2,880,488.018604651163,712.432793522267,752.485581395349,NA,66
2014,"Tatlawiksuk",694.5,742.932990440763,793.072473154614,NA,582.922241726806,729.752486834406,768.866797626014,NA,94
2015,"Tatlawiksuk",641.666666666667,710.401515528982,826.157349277529,NA,538.461022783893,683.206779893561,866.906527154958,NA,176
2016,"Tatlawiksuk",NA,706.522321428571,754.122326131355,NA,566.935274261603,704.270752895753,NA,NA,61
2017,"Tatlawiksuk",NA,750.90995505924,775.593199872895,NA,561.317641896288,684.13594982567,762.835120749921,NA,129
