"year","f4","f5","f6","f7","m4","m5","m6","m7","n_aged"
1976,NA,NA,NA,NA,NA,NA,NA,NA,0
1977,0,0.0804114570043378,0.340808560857362,0.0107530620056137,0.0207042612911457,0.260334906863996,0.285649081398316,0.0013386705792294,761
1978,0,0.05,0.54,0.02,0,0.07,0.3,0.02,188
1979,0.0406295020946151,0.152277022526241,0.209433845350353,0.0418867690700706,0.159548700630487,0.273305773967464,0.100528245768169,0.0223901405926001,248
1980,0,0.136978289066052,0.127608943959221,0.0187386902136628,0.10499515501433,0.505712396786382,0.0965971798535204,0.00936934510683141,273
1981,0.0313238230475569,0.0858838157928513,0.368884749740244,0.0295586072980324,0.0464723393954748,0.2512692736106,0.183076959616191,0.00353043149904914,978
1982,0,0.0202483181219158,0.367705264941789,0.0301834958535601,0.0980740628421454,0.211410458527796,0.272378399712793,0,712
1983,0.00248683737980851,0.0428162925117058,0.386428779552369,0.0440441261172134,0.0696704093456297,0.101065884250256,0.329179343664663,0.0243083271783543,1798
1984,0,0.0428604316349005,0.19402026574306,0.0602155082069731,0.13202489064814,0.347616936910934,0.190704146952407,0.0325578199035848,661
1985,0.0563443151549138,0.0909670545352587,0.188172157577457,0.0336556848450862,0.292582363661853,0.210967054535259,0.123655684845086,0.00365568484508622,635
1986,0.0093638214737769,0.1217296791591,0.14982114358043,0.0468191073688845,0.1217296791591,0.45689835452094,0.093638214737769,0,138
1987,0.0196078431372549,0.0294117647058824,0.166666666666667,0.00980392156862745,0.450980392156863,0.127450980392157,0.186274509803922,0.00980392156862745,549
1988,0.0256336638765579,0.175528557957499,0.115780477537583,0.0458356840785781,0.279779173836021,0.272727272727273,0.0746141598854777,0.0101010101010101,646
1989,0.0459787060270022,0.0717617504577526,0.154714483262914,0.0336378137558712,0.283613488738254,0.209616785146702,0.163686729154934,0.0369902434565703,357
1990,0.00574880356554308,0.0710971065004309,0.0850943627267278,0.015126965237162,0.407369993425767,0.303156819301652,0.0915301804400122,0.0208757688027051,407
1991,0.0210430682695489,0.111361530826073,0.204701389654792,0.0338085915958972,0.310467629866549,0.20763896547921,0.104298003749862,0.00668082055806772,423
1992,0.011088378027386,0.0521767560547721,0.153367432958921,0.01,0.446734865917842,0.237720945068465,0.088911621972614,0,710
1993,0,0,0.05,0,0.62,0.22,0.1,0.01,101
1994,0,0.1,0.12,0.02,0.17,0.43,0.15,0.01,207
1995,0.01,0.03,0.264631525674466,0.00731576283723284,0.336105422976603,0.13,0.221947288511699,0,577
1996,0,0.0444442085275856,0.109009260410758,0.0482463457321124,0.284888817439783,0.375425787802222,0.0997458164357883,0.0382397636517503,589
1997,0,0.01,0.17,0.01,0.52,0.16,0.13,0,162
1998,0.00893559106250876,0.105508618498716,0.0908042031956258,0.0135506504549741,0.242439069577424,0.489468852505742,0.0481392498568928,0.00115376484811633,431
1999,0,0.0198019801980198,0.257425742574257,0.0099009900990099,0.297029702970297,0.207920792079208,0.198019801980198,0.0099009900990099,189
2000,NA,NA,NA,NA,NA,NA,NA,NA,0
2001,0,0,0.42,0.05,0.05,0.16,0.32,0,19
2002,NA,NA,NA,NA,NA,NA,NA,NA,0
2003,NA,NA,NA,NA,NA,NA,NA,NA,0
2004,0,0.0198019801980198,0.0792079207920792,0.0099009900990099,0.574257425742574,0.247524752475248,0.0693069306930693,0,349
2005,0,0.09,0.07,0,0.38,0.38,0.08,0,489
2006,0,0.01,0.06,0,0.62,0.26,0.04,0.01,182
2007,NA,NA,NA,NA,NA,NA,NA,NA,0
2008,0,0.0404040404040404,0.0513410595265984,0,0.404650185345956,0.438366153577613,0.0578718058254211,0.0073667553203706,455
2009,0,0.035993315459499,0.146360823164237,0.00994790918745591,0.424468321811075,0.261973706842817,0.116046842280508,0.00520908125440862,388
2010,0,0.111064160252164,0.166704734930678,0.00766694837182035,0.381158493410384,0.268126203908849,0.0652794591261049,0,290
2011,0,0,0.15,0,0.77,0.08,0,0,13
2012,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,NA,NA,NA,NA,NA,NA,NA,NA,0
2014,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,NA,NA,NA,NA,NA,NA,NA,NA,0
2016,NA,NA,NA,NA,NA,NA,NA,NA,0
2017,NA,NA,NA,NA,NA,NA,NA,NA,0
2018,NA,NA,NA,NA,NA,NA,NA,NA,0
2019,NA,NA,NA,NA,NA,NA,NA,NA,0
